ID,Name,Studio,Budget_Dummy,Oscar Winner?,Oscar_Category,Unique ID
1,Get Out,Uni.,"$4,500,000 ",,,1 Get Out
2,The LEGO Batman Movie,WB,"$80,000,000 ",,,2 The LEGO Batman Movie
3,John Wick: Chapter Two,LG/S,"$75,000,000 ",,,3 John Wick: Chapter Two
4,The Great Wall,Uni.,"$150,000,000 ",,,4 The Great Wall
5,Fifty Shades Darker,Uni.,"$55,000,000 ",,,5 Fifty Shades Darker
6,Fist Fight,WB (NL),"$75,000,000 ",,,6 Fist Fight
7,Hidden Figures,Fox,"$25,000,000 ",,,7 Hidden Figures
8,La La Land,LG/S,"$30,000,000 ",1,ACTRESS IN A LEADING ROLE,8 La La Land
9,Split,Uni.,"$9,000,000 ",,,9 Split
10,Lion,Wein.,"$12,000,000 ",,,10 Lion
11,Rock Dog,LG/S,"$75,000,000 ",,,11 Rock Dog
12,A Dog's Purpose,Uni.,"$22,000,000 ",,,12 A Dog's Purpose
13,Collide,ORF,"$75,000,000 ",,,13 Collide
14,A Cure for Wellness,Fox,"$40,000,000 ",,,14 A Cure for Wellness
15,Moana,BV,"$75,000,000 ",,,15 Moana
16,I am Not Your Negro,Magn.,"$10,000,000 ",,,16 I am Not Your Negro
17,Fences,Par.,"$24,000,000 ",1,ACTRESS IN A SUPPORTING ROLE,17 Fences
18,Moonlight (2016),A24,"$4,000,000 ",,,18 Moonlight (2016)
19,Rings,Par.,"$25,000,000 ",,,19 Rings
20,A United Kingdom,FoxS,"$10,000,000 ",,,20 A United Kingdom
21,Sing,Uni.,"$75,000,000 ",1,SHORT FILM (LIVE ACTION),21 Sing
22,Manchester by the Sea,RAtt.,"$9,000,000 ",1,ACTOR IN A LEADING ROLE,22 Manchester by the Sea
23,The Oscar Nominated Short Films 2017,Shrts.,"$10,000,000 ",,,23 The Oscar Nominated Short Films 2017
24,Rogue One: A Star Wars Story,BV,"$200,000,000 ",,,24 Rogue One: A Star Wars Story
25,Everybody Loves Somebody,PNT,"$10,000,000 ",,,25 Everybody Loves Somebody
26,Arrival,Par.,"$47,000,000 ",1,SOUND EDITING,26 Arrival
27,Passengers (2016),Sony,"$110,000,000 ",,,27 Passengers (2016)
28,Bitter Harvest,RAtt.,"$10,000,000 ",,,28 Bitter Harvest
29,Ballerina (2017) [Canada Only],EOne,"$10,000,000 ",,,29 Ballerina (2017) [Canada Only]
30,The Founder,Wein.,"$10,000,000 ",,,30 The Founder
31,Fantastic Beasts and Where To Find Them,WB,"$180,000,000 ",1,COSTUME DESIGN,31 Fantastic Beasts and Where To Find Them
32,The Salesman,Cohen,"$1,000,000 ",1,FOREIGN LANGUAGE FILM,32 The Salesman
33,Patriots Day,LGF,"$45,000,000 ",,,33 Patriots Day
34,xXx: The Return of Xander Cage,Par.,"$85,000,000 ",,,34 xXx: The Return of Xander Cage
35,Why Him?,Fox,"$38,000,000 ",,,35 Why Him?
36,Toni Erdmann,SPC,"$10,000,000 ",,,36 Toni Erdmann
37,The Red Turtle,SPC,"$10,000,000 ",,,37 The Red Turtle
38,Jackie,FoxS,"$10,000,000 ",,,38 Jackie
39,Kedi,Osci.,"$10,000,000 ",,,39 Kedi
40,Monster Trucks,Par.,"$10,000,000 ",,,40 Monster Trucks
41,The Space Between Us,STX,"$30,000,000 ",,,41 The Space Between Us
42,Doctor Strange,BV,"$165,000,000 ",,,42 Doctor Strange
43,Paterson,BST,"$10,000,000 ",,,43 Paterson
44,Jolly Llb 2,FIP,"$10,000,000 ",,,44 Jolly Llb 2
45,Elle,SPC,"$2,000,000 ",,,45 Elle
46,Resident Evil: The Final Chapter,SGem,"$40,000,000 ",,,46 Resident Evil: The Final Chapter
47,20th Century Women,A24,"$2,000,000 ",,,47 20th Century Women
48,Sleepless,ORF,"$2,000,000 ",,,48 Sleepless
49,Hacksaw Ridge,LGF,"$40,000,000 ",1,FILM EDITING,49 Hacksaw Ridge
50,Trolls,Fox,"$125,000,000 ",,,50 Trolls
51,A Beautiful Planet,Imax,"$2,000,000 ",,,51 A Beautiful Planet
52,Un Padre No Tan Padre,PNT,"$2,000,000 ",,,52 Un Padre No Tan Padre
53,Underworld: Blood Wars,SGem,"$35,000,000 ",,,53 Underworld: Blood Wars
54,Duckweed,CL,"$2,000,000 ",,,54 Duckweed
55,Julieta,SPC,"$2,000,000 ",,,55 Julieta
56,Confidential Assignment,CJ,"$2,000,000 ",,,56 Confidential Assignment
57,My Life as a Zucchini,GK,"$2,000,000 ",,,57 My Life as a Zucchini
